year,region,round,t1Name,t1Rank,t1Score,t1Win,t2Name,t2Rank,t2Score,t2Win
2009,"South Regional – Memphis, Tennessee",round1,Oklahoma,2,82,True,Morgan State,15,54,False
2009,"Final Four – Ford Field, Detroit, Michigan",round5,Michigan St.,M2,82,True,Connecticut,W1,73,False
2009,"Final Four – Ford Field, Detroit, Michigan",round6,Michigan St.,M2,72,False,North Carolina,S1,89,True
2009,"Final Four – Ford Field, Detroit, Michigan",round5,Villanova,E3,69,False,North Carolina,S1,83,True
2010,"Midwest Regional – St. Louis, Missouri",round1,Kansas,1,90,True,Lehigh,16,74,False
2010,"Midwest Regional – St. Louis, Missouri",round2,Kansas,1,67,False,Northern Iowa,9,69,True
2010,"Midwest Regional – St. Louis, Missouri",round1,UNLV,8,66,False,Northern Iowa,9,69,True
2010,"Midwest Regional – St. Louis, Missouri",round3,Northern Iowa,9,52,False,Michigan State,5,59,True
2010,"Midwest Regional – St. Louis, Missouri",round1,Michigan State,5,70,True,New Mexico State,12,67,False
2010,"Midwest Regional – St. Louis, Missouri",round2,Michigan State,5,85,True,Maryland,4,83,False
2010,"Midwest Regional – St. Louis, Missouri",round1,Maryland,4,89,True,Houston,13,77,False
2010,"Midwest Regional – St. Louis, Missouri",round4,Michigan State,5,70,True,Tennessee,6,69,False
2010,"Midwest Regional – St. Louis, Missouri",round1,Tennessee,6,62,True,San Diego State,11,59,False
2010,"Midwest Regional – St. Louis, Missouri",round2,Tennessee,6,83,True,Ohio,14,68,False
2010,"Midwest Regional – St. Louis, Missouri",round1,Georgetown,3,83,False,Ohio,14,97,True
2010,"Midwest Regional – St. Louis, Missouri",round3,Tennessee,6,76,True,Ohio State,2,73,False
2010,"Midwest Regional – St. Louis, Missouri",round1,Oklahoma State,7,59,False,Georgia Tech,10,64,True
2010,"Midwest Regional – St. Louis, Missouri",round2,Georgia Tech,10,66,False,Ohio State,2,75,True
2010,"Midwest Regional – St. Louis, Missouri",round1,Ohio State,2,68,True,UC Santa Barbara,15,51,False
2010,"West Regional – Salt Lake City, Utah",round1,Syracuse,1,79,True,Vermont,16,56,False
2010,"West Regional – Salt Lake City, Utah",round2,Syracuse,1,87,True,Gonzaga,8,65,False
2010,"West Regional – Salt Lake City, Utah",round1,Gonzaga,8,67,True,Florida State,9,60,False
2010,"West Regional – Salt Lake City, Utah",round3,Syracuse,1,59,False,Butler,5,63,True
2010,"West Regional – Salt Lake City, Utah",round1,Butler,5,77,True,UTEP,12,59,False
2010,"West Regional – Salt Lake City, Utah",round2,Butler,5,54,True,Murray State,13,52,False
2010,"West Regional – Salt Lake City, Utah",round1,Vanderbilt,4,65,False,Murray State,13,66,True
2010,"West Regional – Salt Lake City, Utah",round4,Butler,5,63,True,Kansas State,2,56,False
2010,"West Regional – Salt Lake City, Utah",round1,Xavier,6,65,True,Minnesota,11,54,False
2010,"West Regional – Salt Lake City, Utah",round2,Xavier,6,71,True,Pittsburgh,3,68,False
2010,"West Regional – Salt Lake City, Utah",round1,Pittsburgh,3,89,True,Oakland,14,66,False
2010,"West Regional – Salt Lake City, Utah",round3,Xavier,6,96,False,Kansas State,2,101**,True
